Open,High,Low,Close,Adj Close,Volume
42.540000915527344,43.07500076293945,42.31499862670898,43.06499862670898,40.77652740478516,
43.13249969482422,43.63750076293945,,43.057498931884766,40.76942443847656,118071600.0
43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.958797454833984,89738400.0
43.36000061035156,43.84249877929688,43.26250076293945,43.75,41.42512130737305,94640000.0
43.587501525878906,43.90250015258789,,43.587501525878906,41.271263122558594,
,43.76499938964844,,,41.26652526855469,86336000.0
43.290000915527344,43.57500076293945,43.25,,,
,43.872501373291016,43.622501373291016,43.81999969482422,,74670800.0
44.04499816894531,44.34000015258789,43.91249847412109,44.272499084472656,41.91984939575195,101672400.0
44.47499847412109,44.84749984741211,44.03499984741211,,41.706825256347656,
44.03749847412109,,43.76750183105469,44.775001525878906,42.39567184448242,
44.84249877929688,45.025001525878906,44.5625,44.81499862670898,42.43353271484375,124773600.0
44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.2441635131836,129700400.0
44.32500076293945,44.44499969482422,44.150001525878906,44.25,,108434400.0
44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.90802764892578,130756400.0
,44.32500076293945,43.29999923706055,43.55500030517578,41.24049377441406,204420400.0
43.62749862670898,,42.63249969482422,42.77750015258789,40.50430679321289,166116000.0
,43.0,42.51499938964844,42.87749862670898,40.59899520874024,156572000.0
42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.75865173339844,202561600.0
41.38249969482422,41.84249877929688,41.17499923706055,41.74250030517578,39.52431106567383,184192800.0
41.71749877929688,42.11000061035156,41.625,41.85749816894531,39.6331901550293,129915600.0
41.79249954223633,42.15499877929688,41.68999862670898,,39.71603775024414,188923200.0
41.5,,40.025001525878906,40.125,37.992767333984375,346375200.0
39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.04352188110352,290954000.0
38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.591644287109375,272975200.0
40.772499084472656,,39.76750183105469,39.8849983215332,37.76551055908203,206434400.0
40.0724983215332,40.25,38.75749969482422,38.78749847412109,36.72632598876953,217562000.0
,39.47249984741211,37.560001373291016,39.102500915527344,37.1755485534668,
39.625,40.97249984741211,39.37749862670898,40.6775016784668,,243278000.0
40.48749923706055,41.1875,,41.084999084472656,39.06035614013672,130196800.0
40.7599983215332,41.8849983215332,40.720001220703125,41.84249877929688,39.780521392822266,162579600.0
42.4474983215332,43.272499084472656,42.25,43.247501373291016,41.11628341674805,204588800.0
43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,40.98318099975586,160704400.0
43.01250076293945,43.56499862670898,42.85499954223633,42.962501525878906,40.845333099365234,135722000.0
43.20750045776367,43.52999877929688,42.75249862670898,42.76750183105469,40.65993881225586,149886400.0
42.95000076293945,43.48749923706055,42.9275016784668,,40.99981689453125,
43.41749954223633,43.91249847412109,,43.875,41.712852478027344,135249600.0
,,44.0525016784668,44.74250030517578,42.5376091003418,152648800.0
44.775001525878906,45.119998931884766,,44.59749984741211,,155712400.0
44.81499862670898,45.15499877929688,44.51250076293945,44.52999877929688,42.33557891845703,151128400.0
,44.94499969482422,43.165000915527344,43.75,,195208000.0
43.20000076293945,44.07500076293945,43.11249923706055,44.0525016784668,41.881614685058594,153816000.0
43.8025016784668,44.435001373291016,43.630001068115234,44.20500183105469,42.0265998840332,113605600.0
,44.5625,44.032501220703125,44.16749954223633,,95154000.0
43.73500061035156,43.962501525878906,,,41.60114669799805,
43.869998931884766,44.27999877929688,,44.23500061035156,42.05512237548828,95096400.0
44.4900016784668,45.0,44.34749984741211,44.994998931884766,42.77767181396485,128740800.0
45.0724983215332,45.59749984741211,,45.43000030517578,43.19123458862305,128828400.0
45.647499084472656,45.875,,,,126774000.0
45.08000183105469,45.130001068115234,44.45249938964844,44.61000061035156,42.4116439819336,117473600.0
44.625,45.060001373291016,44.51750183105469,44.66249847412109,42.4615478515625,674619378.2987123
44.66249847412109,44.77999877929688,44.40499877929688,44.505001068115234,,157618800.0
44.33000183105469,,43.415000915527344,43.82500076293945,41.66531753540039,133787200.0
,44.20000076293945,43.73500061035156,43.810001373291016,41.65106964111328,78597600.0
43.7599983215332,43.772499084472656,42.81499862670898,42.817501068115234,40.70746994018555,148219600.0
42.5,43.16999816894531,42.150001525878906,42.212501525878906,40.132286071777344,165963200.0
42.09749984741211,42.47999954223633,41.23500061035156,41.23500061035156,39.20295715332031,164115200.0
42.01750183105469,43.275001525878906,41.61000061035156,43.192501068115234,41.06399154663086,
43.41999816894531,,41.72999954223633,,40.01107406616211,
41.8125,42.505001068115234,,,39.56898498535156,166674000.0
41.95249938964844,42.9375,41.72499847412109,41.94499969482422,39.877967834472656,153594000.0
41.65999984741211,,41.11750030517578,41.66999816894531,39.61651611328125,150347200.0
41.90999984741211,42.1875,41.220001220703125,42.09749984741211,40.02295684814453,121112000.0
41.220001220703125,43.00249862670898,41.192501068115234,42.90250015258789,40.78829193115234,138422000.0
43.14500045776367,43.557498931884766,43.02000045776367,43.20000076293945,41.07113265991211,
42.74250030517578,43.119998931884766,42.04999923706055,42.095001220703125,40.02057647705078,140021200.0
42.470001220703125,43.272499084472656,42.462501525878906,42.51250076293945,40.41749572753906,116070800.0
43.25,,42.88249969482422,43.3125,,113634400.0
43.057498931884766,43.47999954223633,42.92499923706055,43.11000061035156,40.98556137084961,89726400.0
43.352500915527344,43.75,43.2599983215332,43.53499984741211,,91557200.0
43.69499969482422,,43.462501525878906,43.682498931884766,41.52983856201172,100497200.0
