Open,High,Low,Close,Adj Close,Volume
86.12999725341797,86.30999755859375,85.5,85.94999694824219,,22483800.0
86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,80.76599884033203,26061400.0
86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,,21912000.0
87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,82.48698425292969,23407100.0
,88.58000183105469,87.5999984741211,88.27999877929688,82.5711669921875,22113000.0
88.6500015258789,,87.86000061035156,88.22000122070312,82.5150375366211,19484300.0
87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,82.14092254638672,18652200.0
88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,82.38410186767578,17808900.0
,89.77999877929688,88.44999694824219,89.5999984741211,83.80581665039062,24271500.0
90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,82.63664245605469,36599700.0
89.08000183105469,,88.75,90.13999938964844,84.3108901977539,25621200.0
89.80000305175781,90.66999816894533,89.66000366210938,90.0999984741211,84.27348327636719,24159700.0
90.13999938964844,90.61000061035156,89.66000366210938,90.0,84.179931640625,36875000.0
90.0,,89.73999786376953,91.61000061035156,85.68584442138672,23601600.0
91.9000015258789,92.3000030517578,91.54000091552734,91.9000015258789,,23412800.0
92.5500030517578,93.43000030517578,91.58000183105467,91.81999969482422,85.88224792480469,33277500.0
92.47000122070312,93.23999786376952,91.93000030517578,92.33000183105467,86.35926818847656,26383200.0
93.12000274658205,94.05999755859376,92.58000183105467,94.05999755859376,87.97740173339844,
95.13999938964844,95.4499969482422,,93.91999816894533,,31569900.0
93.3000030517578,93.66000366210938,92.0999984741211,,86.74275970458984,38635100.0
93.75,95.4000015258789,93.51000213623048,,88.86595153808594,48756300.0
94.79000091552734,96.06999969482422,93.58000183105467,,88.16446685791016,47227900.0
93.63999938964844,,,,85.84484100341797,47867800.0
90.55999755859376,93.23999786376952,88.0,88.0,82.30928039550781,51031500.0
86.88999938964844,91.4800033569336,85.25,91.33000183105467,85.42395782470703,67998600.0
90.48999786376952,91.7699966430664,89.19999694824219,89.61000061035156,83.81517028808594,41107600.0
89.70999908447266,,84.76000213623047,85.01000213623047,79.51264190673828,55628700.0
86.30000305175781,88.93000030517578,,88.18000030517578,82.4776382446289,63499100.0
88.73999786376953,,87.93000030517578,89.12999725341797,83.36620330810547,35720300.0
88.93000030517578,90.0,,89.83000183105469,84.02093505859375,
88.51000213623047,90.98999786376952,88.41000366210938,90.80999755859376,85.33655548095703,34960900.0
,,,,87.07505798339844,27823900.0
92.4499969482422,93.5,91.8000030517578,92.0,,30596900.0
91.4800033569336,,91.01000213623048,,87.13143920898438,30911700.0
92.9800033569336,93.36000061035156,,91.48999786376952,85.97555541992188,
92.0500030517578,92.7300033569336,91.36000061035156,91.7300033569336,86.20111083984375,
,94.06999969482422,,,88.39067077636719,
94.4000015258789,95.4499969482422,94.25,95.41999816894533,89.66868591308594,30199800.0
95.73999786376952,95.83999633789062,,94.1999969482422,88.52223205566406,25869100.0
94.83999633789062,95.70999908447266,93.62999725341795,,,
93.98999786376952,94.56999969482422,91.83999633789062,92.8499984741211,87.25357818603516,37135600.0
91.58000183105467,93.1500015258789,,93.0500030517578,87.4415512084961,32830400.0
92.33999633789062,94.2699966430664,,,87.9959716796875,23901600.0
94.33999633789062,94.48999786376952,92.94000244140624,93.31999969482422,87.69525146484375,22175800.0
93.16000366210938,93.94000244140624,92.43000030517578,93.86000061035156,,26716100.0
94.2699966430664,95.0999984741211,93.7699966430664,94.43000030517578,88.73836517333984,25887800.0
95.29000091552734,,95.0,96.54000091552734,,36937300.0
,97.20999908447266,96.04000091552734,96.7699966430664,90.93731689453124,26073700.0
97.0,,93.97000122070312,94.41000366210938,88.7195816040039,35387800.0
95.12000274658205,95.41000366210938,,,88.19331359863281,32132000.0
,94.58000183105467,92.83000183105467,94.18000030517578,88.50344848632812,
94.68000030517578,,93.91999816894533,94.5999984741211,88.89810180664062,49081300.0
93.73999786376952,93.9000015258789,92.11000061035156,92.88999938964844,87.29119110107422,33344100.0
93.0500030517578,93.7699966430664,,93.12999725341795,87.5167236328125,23075200.0
92.93000030517578,94.0500030517578,92.20999908447266,,86.9059066772461,24457100.0
91.2699966430664,91.75,89.66000366210938,89.79000091552734,,38604700.0
89.5,90.45999908447266,87.08000183105469,,81.92533874511719,44068900.0
90.61000061035156,94.0,90.4000015258789,93.77999877929688,88.1275405883789,56396800.0
94.94000244140624,95.13999938964844,,89.47000122070312,84.07733154296875,56569000.0
89.81999969482422,91.2300033569336,,89.38999938964844,84.00215148925781,52501100.0
90.18000030517578,92.29000091552734,,91.2699966430664,85.76881408691406,45867500.0
90.47000122070312,90.87999725341795,87.51000213623047,88.5199966430664,,48515400.0
89.58000183105469,90.05000305175781,87.88999938964844,89.70999908447266,84.30284881591797,37213800.0
87.8499984741211,92.76000213623048,87.7300033569336,92.33000183105467,86.76493835449219,35560000.0
,93.06999969482422,91.4000015258789,92.37999725341795,86.81190490722656,29771900.0
91.48999786376952,92.45999908447266,89.4800033569336,90.2300033569336,84.79151153564453,38026000.0
,,90.62000274658205,90.7699966430664,85.29898071289062,31533900.0
92.38999938964844,93.27999877929688,91.63999938964844,92.87999725341795,87.28179168701172,26812000.0
,93.29000091552734,91.4800033569336,91.86000061035156,86.3232650756836,24872100.0
92.43000030517578,94.16000366210938,92.43000030517578,93.58000183105467,87.93959045410156,26758900.0
94.0500030517578,94.18000030517578,92.44000244140624,93.08000183105467,87.46974182128906,
